# Marktdata voor het marktprijzen-blok.
# Format per regel: adres | plaats | prijs | status | datum | bron | m2 | postcode
# Velden vanaf 'bron' zijn optioneel en worden automatisch gevuld door funda_mail.py.
# Status: 'verkocht', 'onder bod', 'te koop', 'belegging'.
# Datum (jjjj-mm-dd) is wanneer we dit object zagen. Optioneel; regels zonder
# datum blijven werken, maar tellen niet mee voor looptijd en prijshistorie.
# Staat een adres er al in met een andere prijs, laat de oude regel staan:
# uit die twee regels volgt de prijswijziging.
# Regels met # zijn commentaar. Voeg periodiek nieuwe regels toe.
# Bronnen (bij eerste versie): InBeeld, Hans Janssen, Hermsen, Kolmeijer via Funda-check aug 2026.

# === Stadscentrum / Benedenstad (6511) ===
Mariënburg 20 | Nijmegen | 629000 | te koop
Tooropstraat 195 | Nijmegen | 495000 | verkocht
Hobbemastraat 5 | Nijmegen | 750000 | verkocht
Koolemans Beynenstraat 32 | Nijmegen | 519000 | verkocht
Koolemans Beynenstraat 120 | Nijmegen | 375000 | verkocht
Acaciastraat 7 | Nijmegen | 662500 | verkocht
van den Havestraat 95 | Nijmegen | 450000 | verkocht
van den Havestraat 17 | Nijmegen | 460000 | verkocht
Heydenrijckstraat 10 | Nijmegen | 550000 | verkocht
Heydenrijckstraat 74 | Nijmegen | 745000 | verkocht
van Nispenstraat 23 | Nijmegen | 435000 | verkocht
Bijleveldsingel 20 Bb | Nijmegen | 375000 | verkocht
Prins Hendrikstraat 77 | Nijmegen | 375000 | verkocht
Staringstraat 25 | Nijmegen | 745000 | verkocht
Daalseweg 185A | Nijmegen | 345000 | verkocht
Daalseweg 185C | Nijmegen | 265000 | verkocht
Daalseweg 232D | Nijmegen | 400000 | verkocht
Daalseweg 238A | Nijmegen | 400000 | verkocht
Gorisstraat 23 | Nijmegen | 495000 | verkocht

# === Kwakkenberg / Hunnerberg (6522) ===
Ubbergseveldweg 17 | Nijmegen | 825000 | te koop
Berg en Dalseweg 218 | Nijmegen | 735000 | verkocht
Berg en Dalseweg 286 | Nijmegen | 395000 | verkocht
Berg en Dalseweg 256 | Nijmegen | 850000 | verkocht
Graadt van Roggenstraat 49 | Nijmegen | 469000 | verkocht
Graadt van Roggenstraat 79 | Nijmegen | 525000 | verkocht
Graadt van Roggenstraat 143 | Nijmegen | 585000 | te koop
Jan van Goyenstraat 40 | Nijmegen | 345000 | verkocht
Oude Ubbergseweg 35 | Nijmegen | 450000 | verkocht
Oude Ubbergseweg 41 | Nijmegen | 550000 | verkocht
Caesarstraat 8 | Nijmegen | 550000 | verkocht
Mr. Franckenstraat 40 | Nijmegen | 419000 | verkocht

# === Galgenveld (6524) ===
Prof. Molkenboerstraat 30 | Nijmegen | 429000 | te koop
Fransestraat 6 | Nijmegen | 1100000 | verkocht
Van Spaenstraat 20 | Nijmegen | 495000 | verkocht
Van Spaenstraat 20A | Nijmegen | 395000 | verkocht
Van Spaenstraat 20B | Nijmegen | 375000 | verkocht
Borneostraat 1 | Nijmegen | 330000 | verkocht
Borneostraat 1A | Nijmegen | 250000 | verkocht
Borneostraat 1C | Nijmegen | 260000 | verkocht
Borneostraat 3 | Nijmegen | 330000 | verkocht
Molukkenstraat 168 | Nijmegen | 400000 | te koop
Delistraat 67 | Nijmegen | 385000 | verkocht
Timorstraat 6 | Nijmegen | 595000 | verkocht
Timorstraat 8 | Nijmegen | 590000 | verkocht
Athlonestraat 2 | Nijmegen | 685000 | verkocht
Atjehstraat 15 | Nijmegen | 375000 | verkocht
Atjehstraat 55 | Nijmegen | 419000 | verkocht
Fagelstraat 44 | Nijmegen | 475000 | verkocht
Fagelstraat 42 | Nijmegen | 519000 | verkocht
Johannes Vijghstraat 6B | Nijmegen | 398000 | verkocht
Johannes Vijghstraat 26 | Nijmegen | 475000 | verkocht
van Slichtenhorststraat 38A | Nijmegen | 419000 | verkocht
van Slichtenhorststraat 44 | Nijmegen | 750000 | verkocht
van Gentstraat 68 | Nijmegen | 369000 | verkocht
Prof Hoogveldstraat 13 | Nijmegen | 375000 | verkocht
Sumatraplein 24 | Nijmegen | 849000 | verkocht
Javastraat 84 | Nijmegen | 525000 | verkocht
Madoerastraat 1 | Nijmegen | 1150000 | verkocht
Madoerastraat 9 | Nijmegen | 745000 | verkocht
Prof Regoutstraat 1B | Nijmegen | 235000 | te koop
Groesbeekseweg 103D | Nijmegen | 235000 | te koop

# === Biezen / Waterkwartier (6541) ===
Eerste Oude Heselaan 96 | Nijmegen | 495000 | verkocht
Marialaan 111 | Nijmegen | 335000 | te koop
Marialaan 131 | Nijmegen | 315000 | verkocht
Marialaan 73 | Nijmegen | 425000 | verkocht
Marialaan 151 | Nijmegen | 375000 | verkocht
Boomvalkstraat 13 | Nijmegen | 265000 | verkocht
Boomvalkstraat 18 | Nijmegen | 275000 | te koop
Waalbandijk 459 | Nijmegen | 698000 | verkocht
Waalbandijk 177 | Nijmegen | 465000 | verkocht
Waalbandijk 479 | Nijmegen | 625000 | te koop
Weurtseweg 252 | Nijmegen | 719000 | verkocht
Biezendwarsstraat 48 | Nijmegen | 385000 | verkocht
Biezenstraat 31 | Nijmegen | 590000 | verkocht
Dokstraat 43 | Nijmegen | 650000 | verkocht
Dokstraat 61 | Nijmegen | 399000 | verkocht
Dokstraat 89 | Nijmegen | 416000 | verkocht
Dokstraat 91 | Nijmegen | 399000 | verkocht
Dokstraat 127 | Nijmegen | 427000 | te koop
Voorstadslaan 62 | Nijmegen | 525000 | verkocht
Voorstadslaan 14 | Nijmegen | 350000 | verkocht
Voorstadslaan 72 | Nijmegen | 335000 | verkocht
Albert Trouwborststraat 11 | Nijmegen | 689000 | verkocht
Jan Nieraethstraat 84 | Nijmegen | 925000 | verkocht
Waterstraat 24 | Nijmegen | 525000 | verkocht
Waterstraat 162 | Nijmegen | 550000 | verkocht
IJsselstraat 11 | Nijmegen | 465000 | verkocht
Havenweg 34 | Nijmegen | 825000 | te koop
Havenweg 70 | Nijmegen | 690000 | onder bod
Zwaluwstraat 7 | Nijmegen | 335000 | te koop
Laan van Oost-Indië 327 | Nijmegen | 759000 | verkocht

# === Wolfskuil (6542) ===
Patrijsstraat 48 | Nijmegen | 385000 | te koop
Bosbesstraat 10 | Nijmegen | 260000 | verkocht
Bosbesstraat 6E | Nijmegen | 265000 | verkocht
Bosbesstraat 21 | Nijmegen | 350000 | verkocht
Bosbesstraat 67 | Nijmegen | 495000 | verkocht
Bosduifstraat 18 | Nijmegen | 365000 | verkocht
Bosduifstraat 16 | Nijmegen | 435000 | verkocht
Kamperfoeliestraat 30 | Nijmegen | 409000 | verkocht
Molenweg 42 | Nijmegen | 295000 | verkocht
Dikkeboomweg 36 | Nijmegen | 450000 | te koop
Dikkeboomweg 40 | Nijmegen | 395000 | verkocht
Zonnebloemstraat 36 | Nijmegen | 339000 | verkocht
Koninginnelaan 97 | Nijmegen | 495000 | verkocht
Breehofstraat 17 | Nijmegen | 325000 | verkocht
Schependomlaan 20A | Nijmegen | 495000 | verkocht
Vlietstraat 19 | Nijmegen | 529000 | verkocht

# === Beleggingsobjecten in verhuurde staat (Funda Business, aug 2026) ===
# Deze panden worden apart getoond in de brief. Yield en €/m² zijn indicatief.
van Welderenstraat 5 | Nijmegen | 500000 | belegging
van Welderenstraat 89 | Nijmegen | 934000 | belegging
St. Annastraat 28 | Nijmegen | 1695000 | belegging
Ziekerstraat 5 | Nijmegen | 450000 | belegging
Koningstraat 4 | Nijmegen | 850000 | belegging
Lange Hezelstraat | Nijmegen | 550 | te huur kamer | 2026-09-01 | kamernet | 25
Pastoor van Blitterwijckstraat | Nijmegen | 575 | te huur kamer | 2026-09-01 | kamernet-incl | 20
Varenstraat | Nijmegen | 550 | te huur kamer | 2026-09-01 | kamernet-incl | 18
Berg en Dalseweg | Nijmegen | 650 | te huur kamer | 2026-09-01 | kamernet-incl | 15
Oude Molenweg | Nijmegen | 460 | te huur kamer | 2026-09-01 | kamernet-incl | 16
Jan de Wittstraat | Nijmegen | 1075 | te huur kamer | 2026-09-01 | kamernet-incl | 31
Dr. Claas Noorduijnstraat | Nijmegen | 715 | te huur kamer | 2026-09-01 | kamernet-incl | 25
St. Annastraat | Nijmegen | 764 | te huur kamer | 2026-09-01 | kamernet | 26
Dr. Claas Noorduijnstraat | Nijmegen | 565 | te huur kamer | 2026-09-01 | kamernet-incl | 19
Schepenenstraat | Nijmegen | 660 | te huur kamer | 2026-09-01 | kamernet-incl | 9
Graafseweg | Nijmegen | 750 | te huur kamer | 2026-09-01 | kamernet-incl | 20
Berg en Dalseweg | Nijmegen | 2199 | te huur | 2026-09-01 | pararius | 64 | 6522BC
Waalhaven | Nijmegen | 2250 | te huur | 2026-09-01 | pararius | 112 | 6541AG
Fagelstraat 34 | Nijmegen | 2300 | te huur | 2026-09-01 | pararius | 130 | 6524CE
Wachterslaan 13 | Nijmegen | 1995 | te huur | 2026-09-01 | pararius | 100 | 6523RS
van Welderenstraat 121 B | Nijmegen | 1825 | te huur | 2026-09-01 | pararius | 82 | 6511MH
Plein 1944 7 6 | Nijmegen | 1413 | te huur | 2026-09-01 | pararius | 35 | 6511JB
Niek Engelschmanlaan | Nijmegen | 1845 | te huur | 2026-09-01 | pararius | 74 | 6532CP
Atjehstraat | Nijmegen | 1750 | te huur | 2026-09-01 | pararius | 68 | 6524KV
van Trieststraat 5 | Nijmegen | 1450 | te huur | 2026-09-01 | pararius | 45 | 6512CW
van Welderenstraat 119 | Nijmegen | 1300 | te huur | 2026-09-01 | pararius | 36 | 6511MH
Willemsweg | Nijmegen | 468 | te huur kamer | 2026-09-01 | pararius | 13 | 6531DB
Plein 1944 | Nijmegen | 2650 | te huur | 2026-09-01 | pararius | 107 | 6511JE
Weurtseweg | Nijmegen | 2250 | te huur | 2026-09-01 | pararius | 119 | 6541AT
Straalmanstraat 26 | Nijmegen | 4500 | te huur | 2026-09-01 | pararius | 294 | 6521JM
Groesbeeksedwarsweg | Nijmegen | 649 | te huur kamer | 2026-09-01 | pararius | 16 | 6521DG
Villandry 62 | Nijmegen | 2250 | te huur | 2026-09-01 | pararius | 143 | 6523NZ
